Código;Reservatório;Cota;Capacidade;Volume;VolumePercentual;DataInformacao;
12172;EPITÁCIO PESSOA;;411,69;78,45;19,06;18/05/2015;
12172;EPITÁCIO PESSOA;;411,69;78,92;19,17;15/05/2015;
12172;EPITÁCIO PESSOA;;411,69;79,03;19,20;14/05/2015;
12172;EPITÁCIO PESSOA;;411,69;80,31;19,51;06/05/2015;
12172;EPITÁCIO PESSOA;;411,69;80,55;19,57;05/05/2015;
12172;EPITÁCIO PESSOA;;411,69;80,66;19,59;04/05/2015;
12172;EPITÁCIO PESSOA;;411,69;81,83;19,88;27/04/2015;
12172;EPITÁCIO PESSOA;;411,69;82,18;19,96;24/04/2015;
12172;EPITÁCIO PESSOA;;411,69;83,34;20,24;17/04/2015;
12172;EPITÁCIO PESSOA;;411,69;83,46;20,27;16/04/2015;
12172;EPITÁCIO PESSOA;;411,69;83,69;20,33;15/04/2015;
12172;EPITÁCIO PESSOA;;411,69;83,81;20,36;14/04/2015;
12172;EPITÁCIO PESSOA;;411,69;83,34;20,24;07/04/2015;
12172;EPITÁCIO PESSOA;;411,69;83,58;20,30;06/04/2015;
12172;EPITÁCIO PESSOA;;411,69;84,74;20,58;30/03/2015;
12172;EPITÁCIO PESSOA;;411,69;85,09;20,67;27/03/2015;
12172;EPITÁCIO PESSOA;;411,69;85,21;20,70;26/03/2015;
12172;EPITÁCIO PESSOA;;411,69;85,44;20,75;25/03/2015;
12172;EPITÁCIO PESSOA;;411,69;86,14;20,92;19/03/2015;
12172;EPITÁCIO PESSOA;;411,69;86,40;20,99;18/03/2015;
12172;EPITÁCIO PESSOA;;411,69;86,66;21,05;16/03/2015;
12172;EPITÁCIO PESSOA;;411,69;87,04;21,14;13/03/2015;
12172;EPITÁCIO PESSOA;;411,69;87,30;21,21;12/03/2015;
12172;EPITÁCIO PESSOA;;411,69;87,43;21,24;11/03/2015;
12172;EPITÁCIO PESSOA;;411,69;88,21;21,43;02/03/2015;
12172;EPITÁCIO PESSOA;;411,69;88,73;21,55;26/02/2015;
12172;EPITÁCIO PESSOA;;411,69;89,24;21,68;23/02/2015;
12172;EPITÁCIO PESSOA;;411,69;89,63;21,77;20/02/2015;
12172;EPITÁCIO PESSOA;;411,69;90,80;22,06;13/02/2015;
12172;EPITÁCIO PESSOA;;411,69;91,44;22,21;09/02/2015;
12172;EPITÁCIO PESSOA;;411,69;88,60;21,52;03/02/2015;
12172;EPITÁCIO PESSOA;;411,69;89,24;21,68;30/01/2015;
12172;EPITÁCIO PESSOA;;411,69;90,02;21,87;26/01/2015;
12172;EPITÁCIO PESSOA;;411,69;90,54;21,99;23/01/2015;
12172;EPITÁCIO PESSOA;;411,69;91,18;22,15;20/01/2015;
12172;EPITÁCIO PESSOA;;411,69;92,22;22,40;14/01/2015;
12172;EPITÁCIO PESSOA;;411,69;93,25;22,65;09/01/2015;
12172;EPITÁCIO PESSOA;;411,69;93,51;22,71;07/01/2015;
12172;EPITÁCIO PESSOA;;411,69;94,81;23,03;30/12/2014;
12172;EPITÁCIO PESSOA;;411,69;95,06;23,09;29/12/2014;
12172;EPITÁCIO PESSOA;;411,69;97,39;23,66;15/12/2014;
12172;EPITÁCIO PESSOA;;411,69;98,56;23,94;10/12/2014;
12172;EPITÁCIO PESSOA;;411,69;99,37;24,14;03/12/2014;
12172;EPITÁCIO PESSOA;;411,69;99,51;24,17;02/12/2014;
12172;EPITÁCIO PESSOA;;411,69;100,53;24,42;27/11/2014;
12172;EPITÁCIO PESSOA;;411,69;101,12;24,56;24/11/2014;
12172;EPITÁCIO PESSOA;;411,69;101,99;24,77;20/11/2014;
12172;EPITÁCIO PESSOA;;411,69;103,16;25,06;14/11/2014;
12172;EPITÁCIO PESSOA;;411,69;103,74;25,20;11/11/2014;
12172;EPITÁCIO PESSOA;;411,69;103,88;25,23;10/11/2014;
12172;EPITÁCIO PESSOA;;411,69;105,20;25,55;04/11/2014;
12172;EPITÁCIO PESSOA;;411,69;106,22;25,80;29/10/2014;
12172;EPITÁCIO PESSOA;;411,69;107,67;26,15;22/10/2014;
12172;EPITÁCIO PESSOA;;411,69;107,97;26,23;21/10/2014;
12172;EPITÁCIO PESSOA;;411,69;108,99;26,47;16/10/2014;
12172;EPITÁCIO PESSOA;;411,69;109,42;26,58;13/10/2014;
12172;EPITÁCIO PESSOA;;411,69;110,15;26,76;09/10/2014;
12172;EPITÁCIO PESSOA;;411,69;110,44;26,83;07/10/2014;
12172;EPITÁCIO PESSOA;;411,69;111,03;26,97;03/10/2014;
12172;EPITÁCIO PESSOA;;411,69;111,46;27,07;01/10/2014;
12172;EPITÁCIO PESSOA;;411,69;111,76;27,15;29/09/2014;
12172;EPITÁCIO PESSOA;;411,69;113,51;27,57;23/09/2014;
12172;EPITÁCIO PESSOA;;411,69;113,82;27,65;22/09/2014;
12172;EPITÁCIO PESSOA;;411,69;114,14;27,72;19/09/2014;
12172;EPITÁCIO PESSOA;;411,69;114,64;27,85;16/09/2014;
12172;EPITÁCIO PESSOA;;411,69;115,30;28,01;15/09/2014;
12172;EPITÁCIO PESSOA;;411,69;115,30;28,01;12/09/2014;
12172;EPITÁCIO PESSOA;;411,69;115,46;28,05;11/09/2014;
12172;EPITÁCIO PESSOA;;411,69;115,79;28,13;08/09/2014;
12172;EPITÁCIO PESSOA;;411,69;116,28;28,24;05/09/2014;
12172;EPITÁCIO PESSOA;;411,69;116,61;28,32;03/09/2014;
12172;EPITÁCIO PESSOA;;411,69;116,78;28,37;02/09/2014;
12172;EPITÁCIO PESSOA;;411,69;117,76;28,60;28/08/2014;
12172;EPITÁCIO PESSOA;;411,69;117,93;28,65;27/08/2014;
12172;EPITÁCIO PESSOA;;411,69;118,26;28,73;25/08/2014;
12172;EPITÁCIO PESSOA;;411,69;118,91;28,88;22/08/2014;
12172;EPITÁCIO PESSOA;;411,69;119,08;28,92;21/08/2014;
12172;EPITÁCIO PESSOA;;411,69;120,23;29,20;15/08/2014;
12172;EPITÁCIO PESSOA;;411,69;120,56;29,28;13/08/2014;
12172;EPITÁCIO PESSOA;;411,69;121,22;29,44;08/08/2014;
12172;EPITÁCIO PESSOA;;411,69;121,38;29,48;07/08/2014;
12172;EPITÁCIO PESSOA;;411,69;122,04;29,64;04/08/2014;
12172;EPITÁCIO PESSOA;;411,69;123,03;29,88;29/07/2014;
12172;EPITÁCIO PESSOA;;411,69;123,19;29,92;28/07/2014;
12172;EPITÁCIO PESSOA;;411,69;124,01;30,12;22/07/2014;
12172;EPITÁCIO PESSOA;;411,69;124,67;30,28;17/07/2014;
12172;EPITÁCIO PESSOA;;411,69;124,84;30,32;16/07/2014;
12172;EPITÁCIO PESSOA;;411,69;125,00;30,36;15/07/2014;
12172;EPITÁCIO PESSOA;;411,69;125,16;30,40;14/07/2014;
12172;EPITÁCIO PESSOA;;411,69;125,00;30,36;11/07/2014;
12172;EPITÁCIO PESSOA;;411,69;125,16;30,40;10/07/2014;
12172;EPITÁCIO PESSOA;;411,69;125,49;30,48;09/07/2014;
12172;EPITÁCIO PESSOA;;411,69;125,66;30,52;08/07/2014;
12172;EPITÁCIO PESSOA;;411,69;125,82;30,56;07/07/2014;
12172;EPITÁCIO PESSOA;;411,69;126,48;30,72;04/07/2014;
12172;EPITÁCIO PESSOA;;411,69;126,64;30,76;02/07/2014;
12172;EPITÁCIO PESSOA;;411,69;126,97;30,84;01/07/2014;
12172;EPITÁCIO PESSOA;;411,69;127,47;30,96;27/06/2014;
12172;EPITÁCIO PESSOA;;411,69;127,63;31,00;25/06/2014;
12172;EPITÁCIO PESSOA;;411,69;128,29;31,16;20/06/2014;
12172;EPITÁCIO PESSOA;;411,69;128,62;31,24;18/06/2014;
12172;EPITÁCIO PESSOA;;411,69;129,44;31,44;13/06/2014;
12172;EPITÁCIO PESSOA;;411,69;129,61;31,48;12/06/2014;
12172;EPITÁCIO PESSOA;;411,69;129,77;31,52;11/06/2014;
12172;EPITÁCIO PESSOA;;411,69;129,93;31,56;10/06/2014;
12172;EPITÁCIO PESSOA;;411,69;129,93;31,56;09/06/2014;
12172;EPITÁCIO PESSOA;;411,69;130,28;31,65;06/06/2014;
12172;EPITÁCIO PESSOA;;411,69;130,65;31,74;04/06/2014;
12172;EPITÁCIO PESSOA;;411,69;131,02;31,82;02/06/2014;
12172;EPITÁCIO PESSOA;;411,69;131,39;31,91;30/05/2014;
12172;EPITÁCIO PESSOA;;411,69;131,39;31,91;29/05/2014;
12172;EPITÁCIO PESSOA;;411,69;130,65;31,74;28/05/2014;
12172;EPITÁCIO PESSOA;;411,69;131,94;32,05;22/05/2014;
12172;EPITÁCIO PESSOA;;411,69;132,12;32,09;21/05/2014;
12172;EPITÁCIO PESSOA;;411,69;132,31;32,14;20/05/2014;
12172;EPITÁCIO PESSOA;;411,69;132,49;32,18;19/05/2014;
12172;EPITÁCIO PESSOA;;411,69;133,04;32,32;16/05/2014;
12172;EPITÁCIO PESSOA;;411,69;133,04;32,32;15/05/2014;
12172;EPITÁCIO PESSOA;;411,69;133,04;32,32;14/05/2014;
12172;EPITÁCIO PESSOA;;411,69;132,68;32,23;13/05/2014;
12172;EPITÁCIO PESSOA;;411,69;132,49;32,18;12/05/2014;
12172;EPITÁCIO PESSOA;;411,69;133,04;32,32;09/05/2014;
12172;EPITÁCIO PESSOA;;411,69;133,23;32,36;08/05/2014;
12172;EPITÁCIO PESSOA;;411,69;133,41;32,41;07/05/2014;
12172;EPITÁCIO PESSOA;;411,69;133,41;32,41;06/05/2014;
12172;EPITÁCIO PESSOA;;411,69;133,78;32,50;05/05/2014;
12172;EPITÁCIO PESSOA;;411,69;132,68;32,23;02/05/2014;
12172;EPITÁCIO PESSOA;;411,69;131,20;31,87;29/04/2014;
12172;EPITÁCIO PESSOA;;411,69;128,78;31,28;28/04/2014;
12172;EPITÁCIO PESSOA;;411,69;129,44;31,44;25/04/2014;
12172;EPITÁCIO PESSOA;;411,69;129,61;31,48;24/04/2014;
12172;EPITÁCIO PESSOA;;411,69;129,93;31,56;23/04/2014;
12172;EPITÁCIO PESSOA;;411,69;131,02;31,82;16/04/2014;
12172;EPITÁCIO PESSOA;;411,69;131,20;31,87;15/04/2014;
12172;EPITÁCIO PESSOA;;411,69;131,39;31,91;14/04/2014;
12172;EPITÁCIO PESSOA;;411,69;131,57;31,96;11/04/2014;
12172;EPITÁCIO PESSOA;;411,69;131,94;32,05;09/04/2014;
12172;EPITÁCIO PESSOA;;411,69;132,12;32,09;08/04/2014;
12172;EPITÁCIO PESSOA;;411,69;132,31;32,14;07/04/2014;
12172;EPITÁCIO PESSOA;;411,69;133,23;32,36;02/04/2014;
12172;EPITÁCIO PESSOA;;411,69;133,41;32,41;01/04/2014;
12172;EPITÁCIO PESSOA;;411,69;133,78;32,50;31/03/2014;
12172;EPITÁCIO PESSOA;;411,69;134,52;32,68;28/03/2014;
12172;EPITÁCIO PESSOA;;411,69;134,70;32,72;27/03/2014;
12172;EPITÁCIO PESSOA;;411,69;134,88;32,76;26/03/2014;
12172;EPITÁCIO PESSOA;;411,69;135,25;32,85;25/03/2014;
12172;EPITÁCIO PESSOA;;411,69;135,62;32,94;21/03/2014;
12172;EPITÁCIO PESSOA;;411,69;135,07;32,81;20/03/2014;
12172;EPITÁCIO PESSOA;;411,69;135,62;32,94;18/03/2014;
12172;EPITÁCIO PESSOA;;411,69;135,80;32,99;17/03/2014;
12172;EPITÁCIO PESSOA;;411,69;136,73;33,21;12/03/2014;
12172;EPITÁCIO PESSOA;;411,69;137,09;33,30;11/03/2014;
12172;EPITÁCIO PESSOA;;411,69;137,28;33,35;10/03/2014;
12172;EPITÁCIO PESSOA;;411,69;137,83;33,48;07/03/2014;
12172;EPITÁCIO PESSOA;;411,69;137,83;33,48;06/03/2014;
12172;EPITÁCIO PESSOA;;411,69;139,49;33,88;28/02/2014;
12172;EPITÁCIO PESSOA;;411,69;139,67;33,93;27/02/2014;
12172;EPITÁCIO PESSOA;;411,69;140,04;34,02;25/02/2014;
12172;EPITÁCIO PESSOA;;411,69;141,14;34,28;21/02/2014;
12172;EPITÁCIO PESSOA;;411,69;141,88;34,46;18/02/2014;
12172;EPITÁCIO PESSOA;;411,69;141,33;34,33;17/02/2014;
12172;EPITÁCIO PESSOA;;411,69;141,88;34,46;14/02/2014;
12172;EPITÁCIO PESSOA;;411,69;142,98;34,73;13/02/2014;
12172;EPITÁCIO PESSOA;;411,69;143,17;34,78;12/02/2014;
12172;EPITÁCIO PESSOA;;411,69;143,35;34,82;11/02/2014;
12172;EPITÁCIO PESSOA;;411,69;143,54;34,87;10/02/2014;
12172;EPITÁCIO PESSOA;;411,69;144,09;35,00;06/02/2014;
12172;EPITÁCIO PESSOA;;411,69;144,27;35,04;05/02/2014;
12172;EPITÁCIO PESSOA;;411,69;144,46;35,09;04/02/2014;
12172;EPITÁCIO PESSOA;;411,69;145,01;35,22;31/01/2014;
12172;EPITÁCIO PESSOA;;411,69;145,19;35,27;30/01/2014;
12172;EPITÁCIO PESSOA;;411,69;145,38;35,31;29/01/2014;
12172;EPITÁCIO PESSOA;;411,69;145,74;35,40;28/01/2014;
12172;EPITÁCIO PESSOA;;411,69;145,93;35,45;27/01/2014;
12172;EPITÁCIO PESSOA;;411,69;147,58;35,85;22/01/2014;
12172;EPITÁCIO PESSOA;;411,69;147,77;35,89;21/01/2014;
12172;EPITÁCIO PESSOA;;411,69;149,54;36,32;17/01/2014;
12172;EPITÁCIO PESSOA;;411,69;150,57;36,57;13/01/2014;
12172;EPITÁCIO PESSOA;;411,69;152,22;36,97;08/01/2014;
12172;EPITÁCIO PESSOA;;411,69;152,63;37,07;06/01/2014;
12172;EPITÁCIO PESSOA;;411,69;157,37;38,23;16/12/2013;
12172;EPITÁCIO PESSOA;;411,69;158,20;38,43;13/12/2013;
12172;EPITÁCIO PESSOA;;411,69;158,81;38,58;11/12/2013;
12172;EPITÁCIO PESSOA;;411,69;160,26;38,93;06/12/2013;
12172;EPITÁCIO PESSOA;;411,69;160,67;39,03;05/12/2013;
12172;EPITÁCIO PESSOA;;411,69;161,29;39,18;03/12/2013;
12172;EPITÁCIO PESSOA;;411,69;162,32;39,43;29/11/2013;
12172;EPITÁCIO PESSOA;;411,69;162,52;39,48;28/11/2013;
12172;EPITÁCIO PESSOA;;411,69;163,14;39,63;26/11/2013;
12172;EPITÁCIO PESSOA;;411,69;163,35;39,68;25/11/2013;
12172;EPITÁCIO PESSOA;;411,69;164,79;40,03;20/11/2013;
12172;EPITÁCIO PESSOA;;411,69;165,00;40,08;19/11/2013;
12172;EPITÁCIO PESSOA;;411,69;165,21;40,13;18/11/2013;
12172;EPITÁCIO PESSOA;;411,69;166,65;40,48;13/11/2013;
12172;EPITÁCIO PESSOA;;411,69;167,06;40,58;12/11/2013;
12172;EPITÁCIO PESSOA;;411,69;168,92;41,03;05/11/2013;
12172;EPITÁCIO PESSOA;;411,69;169,12;41,08;04/11/2013;
12172;EPITÁCIO PESSOA;;411,69;168,30;40,88;01/11/2013;
12172;EPITÁCIO PESSOA;;411,69;168,50;40,93;31/10/2013;
12172;EPITÁCIO PESSOA;;411,69;168,71;40,98;30/10/2013;
12172;EPITÁCIO PESSOA;;411,69;169,12;41,08;29/10/2013;
12172;EPITÁCIO PESSOA;;411,69;170,28;41,36;25/10/2013;
12172;EPITÁCIO PESSOA;;411,69;170,74;41,47;24/10/2013;
12172;EPITÁCIO PESSOA;;411,69;171,20;41,58;22/10/2013;
12172;EPITÁCIO PESSOA;;411,69;171,66;41,70;21/10/2013;
12172;EPITÁCIO PESSOA;;411,69;172,58;41,92;18/10/2013;
12172;EPITÁCIO PESSOA;;411,69;173,27;42,09;16/10/2013;
12172;EPITÁCIO PESSOA;;411,69;173,50;42,14;15/10/2013;
12172;EPITÁCIO PESSOA;;411,69;173,73;42,20;14/10/2013;
12172;EPITÁCIO PESSOA;;411,69;174,89;42,48;10/10/2013;
12172;EPITÁCIO PESSOA;;411,69;175,12;42,54;09/10/2013;
12172;EPITÁCIO PESSOA;;411,69;176,73;42,93;04/10/2013;
12172;EPITÁCIO PESSOA;;411,69;176,96;42,98;03/10/2013;
12172;EPITÁCIO PESSOA;;411,69;177,66;43,15;01/10/2013;
12172;EPITÁCIO PESSOA;;411,69;179,04;43,49;26/09/2013;
12172;EPITÁCIO PESSOA;;411,69;179,50;43,60;24/09/2013;
12172;EPITÁCIO PESSOA;;411,69;179,96;43,71;23/09/2013;
12172;EPITÁCIO PESSOA;;411,69;180,88;43,94;20/09/2013;
12172;EPITÁCIO PESSOA;;411,69;181,11;43,99;19/09/2013;
12172;EPITÁCIO PESSOA;;411,69;181,58;44,11;17/09/2013;
12172;EPITÁCIO PESSOA;;411,69;182,73;44,39;13/09/2013;
12172;EPITÁCIO PESSOA;;411,69;183,19;44,50;09/09/2013;
12172;EPITÁCIO PESSOA;;411,69;184,11;44,72;06/09/2013;
12172;EPITÁCIO PESSOA;;411,69;184,34;44,78;05/09/2013;
12172;EPITÁCIO PESSOA;;411,69;184,57;44,83;04/09/2013;
12172;EPITÁCIO PESSOA;;411,69;185,04;44,95;02/09/2013;
12172;EPITÁCIO PESSOA;;411,69;185,50;45,06;30/08/2013;
12172;EPITÁCIO PESSOA;;411,69;185,73;45,11;29/08/2013;
12172;EPITÁCIO PESSOA;;411,69;185,96;45,17;28/08/2013;
12172;EPITÁCIO PESSOA;;411,69;186,19;45,23;27/08/2013;
12172;EPITÁCIO PESSOA;;411,69;187,34;45,51;23/08/2013;
12172;EPITÁCIO PESSOA;;411,69;187,57;45,56;22/08/2013;
12172;EPITÁCIO PESSOA;;411,69;187,80;45,62;21/08/2013;
12172;EPITÁCIO PESSOA;;411,69;188,03;45,67;20/08/2013;
12172;EPITÁCIO PESSOA;;411,69;188,49;45,78;19/08/2013;
12172;EPITÁCIO PESSOA;;411,69;189,19;45,95;16/08/2013;
12172;EPITÁCIO PESSOA;;411,69;189,42;46,01;15/08/2013;
12172;EPITÁCIO PESSOA;;411,69;189,65;46,07;14/08/2013;
12172;EPITÁCIO PESSOA;;411,69;189,88;46,12;13/08/2013;
12172;EPITÁCIO PESSOA;;411,69;190,11;46,18;12/08/2013;
12172;EPITÁCIO PESSOA;;411,69;191,03;46,40;08/08/2013;
12172;EPITÁCIO PESSOA;;411,69;191,26;46,46;07/08/2013;
12172;EPITÁCIO PESSOA;;411,69;191,49;46,51;06/08/2013;
12172;EPITÁCIO PESSOA;;411,69;192,44;46,74;02/08/2013;
12172;EPITÁCIO PESSOA;;411,69;192,70;46,81;01/08/2013;
12172;EPITÁCIO PESSOA;;411,69;192,95;46,87;31/07/2013;
12172;EPITÁCIO PESSOA;;411,69;193,21;46,93;30/07/2013;
12172;EPITÁCIO PESSOA;;411,69;193,46;46,99;29/07/2013;
12172;EPITÁCIO PESSOA;;411,69;194,49;47,24;26/07/2013;
12172;EPITÁCIO PESSOA;;411,69;194,49;47,24;25/07/2013;
12172;EPITÁCIO PESSOA;;411,69;194,74;47,30;24/07/2013;
12172;EPITÁCIO PESSOA;;411,69;195,00;47,37;23/07/2013;
12172;EPITÁCIO PESSOA;;411,69;195,00;47,37;22/07/2013;
12172;EPITÁCIO PESSOA;;411,69;195,51;47,49;18/07/2013;
12172;EPITÁCIO PESSOA;;411,69;196,02;47,61;16/07/2013;
12172;EPITÁCIO PESSOA;;411,69;196,28;47,68;15/07/2013;
12172;EPITÁCIO PESSOA;;411,69;196,28;47,68;12/07/2013;
12172;EPITÁCIO PESSOA;;411,69;196,53;47,74;10/07/2013;
12172;EPITÁCIO PESSOA;;411,69;196,79;47,80;09/07/2013;
12172;EPITÁCIO PESSOA;;411,69;197,81;48,05;05/07/2013;
12172;EPITÁCIO PESSOA;;411,69;198,07;48,11;04/07/2013;
12172;EPITÁCIO PESSOA;;411,69;198,07;48,11;03/07/2013;
12172;EPITÁCIO PESSOA;;411,69;198,32;48,17;02/07/2013;
12172;EPITÁCIO PESSOA;;411,69;198,58;48,24;01/07/2013;
12172;EPITÁCIO PESSOA;;411,69;199,35;48,42;28/06/2013;
12172;EPITÁCIO PESSOA;;411,69;199,60;48,48;27/06/2013;
12172;EPITÁCIO PESSOA;;411,69;199,86;48,55;26/06/2013;
12172;EPITÁCIO PESSOA;;411,69;200,11;48,61;25/06/2013;
12172;EPITÁCIO PESSOA;;411,69;200,88;48,79;21/06/2013;
12172;EPITÁCIO PESSOA;;411,69;201,14;48,86;20/06/2013;
12172;EPITÁCIO PESSOA;;411,69;201,39;48,92;19/06/2013;
12172;EPITÁCIO PESSOA;;411,69;201,65;48,98;18/06/2013;
12172;EPITÁCIO PESSOA;;411,69;201,91;49,04;17/06/2013;
12172;EPITÁCIO PESSOA;;411,69;202,42;49,17;14/06/2013;
12172;EPITÁCIO PESSOA;;411,69;202,42;49,17;13/06/2013;
12172;EPITÁCIO PESSOA;;411,69;202,67;49,23;12/06/2013;
12172;EPITÁCIO PESSOA;;411,69;202,93;49,29;11/06/2013;
12172;EPITÁCIO PESSOA;;411,69;203,18;49,35;10/06/2013;
12172;EPITÁCIO PESSOA;;411,69;203,95;49,54;07/06/2013;
12172;EPITÁCIO PESSOA;;411,69;204,21;49,60;06/06/2013;
12172;EPITÁCIO PESSOA;;411,69;204,72;49,73;04/06/2013;
12172;EPITÁCIO PESSOA;;411,69;204,98;49,79;03/06/2013;
12172;EPITÁCIO PESSOA;;411,69;206,00;50,04;29/05/2013;
12172;EPITÁCIO PESSOA;;411,69;206,51;50,16;28/05/2013;
12172;EPITÁCIO PESSOA;;411,69;206,77;50,22;27/05/2013;
12172;EPITÁCIO PESSOA;;411,69;207,53;50,41;24/05/2013;
12172;EPITÁCIO PESSOA;;411,69;207,79;50,47;23/05/2013;
12172;EPITÁCIO PESSOA;;411,69;208,04;50,53;22/05/2013;
12172;EPITÁCIO PESSOA;;411,69;208,56;50,66;21/05/2013;
12172;EPITÁCIO PESSOA;;411,69;208,81;50,72;20/05/2013;
12172;EPITÁCIO PESSOA;;411,69;209,32;50,84;17/05/2013;
12172;EPITÁCIO PESSOA;;411,69;209,58;50,91;16/05/2013;
12172;EPITÁCIO PESSOA;;411,69;209,58;50,91;15/05/2013;
12172;EPITÁCIO PESSOA;;411,69;209,84;50,97;14/05/2013;
12172;EPITÁCIO PESSOA;;411,69;210,09;51,03;13/05/2013;
12172;EPITÁCIO PESSOA;;411,69;211,11;51,28;10/05/2013;
12172;EPITÁCIO PESSOA;;411,69;211,37;51,34;09/05/2013;
12172;EPITÁCIO PESSOA;;411,69;211,63;51,41;08/05/2013;
12172;EPITÁCIO PESSOA;;411,69;211,88;51,47;07/05/2013;
12172;EPITÁCIO PESSOA;;411,69;212,14;51,53;06/05/2013;
12172;EPITÁCIO PESSOA;;411,69;212,39;51,59;05/05/2013;
12172;EPITÁCIO PESSOA;;411,69;212,65;51,65;04/05/2013;
12172;EPITÁCIO PESSOA;;411,69;212,91;51,71;03/05/2013;
12172;EPITÁCIO PESSOA;;411,69;213,16;51,78;02/05/2013;
12172;EPITÁCIO PESSOA;;411,69;213,42;51,84;01/05/2013;
12172;EPITÁCIO PESSOA;;411,69;213,42;51,84;30/04/2013;
12172;EPITÁCIO PESSOA;;411,69;213,42;51,84;29/04/2013;
12172;EPITÁCIO PESSOA;;411,69;213,42;51,84;28/04/2013;
12172;EPITÁCIO PESSOA;;411,69;213,67;51,90;27/04/2013;
12172;EPITÁCIO PESSOA;;411,69;213,93;51,96;26/04/2013;
12172;EPITÁCIO PESSOA;;411,69;213,93;51,96;25/04/2013;
12172;EPITÁCIO PESSOA;;411,69;213,67;51,90;24/04/2013;
12172;EPITÁCIO PESSOA;;411,69;213,93;51,96;23/04/2013;
12172;EPITÁCIO PESSOA;;411,69;213,93;51,96;22/04/2013;
